"Category","Question","annotation_id","annotator","created_at","id","lead_time","updated_at"
"Informatics Basics","In the SI system, the unit of measurement of voltage is","7","1","2023-11-20T16:40:30.614315Z","1","57.305","2023-11-20T16:40:30.614315Z"
"Informatics Basics"," Show the drawing of a permanent capacitor.","8","1","2023-11-20T16:41:35.835818Z","2","64.78","2023-11-20T16:41:35.835818Z"
"Informatics Basics"," The drawing shows a diagram of the logical structure","9","1","2023-11-20T16:41:43.899860Z","3","7.67","2023-11-20T16:41:43.899860Z"
"Computer"," The designation of the presented processor informs about","10","1","2023-11-20T16:41:49.206430Z","4","4.909","2023-11-20T16:41:49.206430Z"
"Computer"," Indicate the component that is incompatible with the motherboard with the parameters presented in the table.","11","1","2023-11-20T16:42:02.880896Z","5","13.252","2023-11-20T16:42:02.880896Z"
"Computer"," In the computer set with the parameters presented in the table, replace the graphics card with a GeForce GTX 1070 Ti Titanium 8G DDR5, PCI EX-x16 3.0, 256b, 1683 MHz/1607 MHz, Power consumption 180W, 3x DP, 2x HDMI, recommended power supply 500W , DirectX 12, OpenGL 4.5 Therefore, upgrading this computer also requires replacement","12","1","2023-11-20T16:42:07.116358Z","6","3.813","2023-11-20T16:42:07.116358Z"
"Operating Systems or Administration"," Programs can be used to update Linux systems","13","1","2023-11-20T16:42:11.602965Z","7","6.712999999999999","2023-11-20T16:50:42.431436Z"
"Legal"," The author of the posted software authorizes its free use only if required","14","1","2023-11-20T16:43:08.375462Z","8","63.913","2023-11-20T16:44:16.218764Z"
"Computer Networks"," Which Gigabit Ethernet standard allows the construction of network segments with a length of 550 m/5000 m with a transmission speed of 1 Gb/s?","15","1","2023-11-20T16:44:26.090262Z","9","3.923","2023-11-20T16:44:26.090262Z"
"Computer Networks","Very strong electromagnetic interference occurs in two adjacent rooms of a certain company. To ensure the highest possible throughput during operation of the existing LAN, it should be used as the transmission medium","16","1","2023-11-20T16:44:34.381421Z","10","7.898","2023-11-20T16:44:34.381421Z"
"Computer Networks"," A tool used to connect a pigtail to the fibers of an optical fiber cable","17","1","2023-11-20T16:44:56.937623Z","11","22.136","2023-11-20T16:44:56.937623Z"
"Computer Networks"," To protect your wireless network against unauthorized access, you should, among other things:","18","1","2023-11-20T16:45:00.172894Z","12","2.81","2023-11-20T16:45:00.172894Z"
"Computer Networks"," Specify the address of the network to which the host with the address 172.16.0.123/27 belongs","19","1","2023-11-20T16:45:03.342685Z","13","2.72","2023-11-20T16:45:03.342685Z"
"Computer Networks"," How many bits must be extracted from the host part to create 24 subnets from the network with IPv4 address 170.16.0.0/16?","20","1","2023-11-20T16:45:06.382612Z","14","2.654","2023-11-20T16:45:06.382612Z"
"Computer Networks"," A program used to display a list of active devices working in a LAN is","21","1","2023-11-20T16:46:40.346381Z","15","93.513","2023-11-20T16:46:40.346381Z"
"Computer Networks"," Indicate the technology used to provide the Internet along with the cable television service, which uses optical fiber and coaxial cable as the transmission medium.","22","1","2023-11-20T16:46:44.697851Z","16","3.917","2023-11-20T16:46:44.697851Z"
"Operating Systems or Administration","To change the port of an installed printer in Windows, use the function","23","1","2023-11-20T16:51:57.344177Z","17","145.869","2023-11-20T16:51:57.344177Z"
"Computer Networks"," In a LAN network, to protect network devices against overvoltages and potential differences that may occur during a storm or other lightning discharges, you should use","24","1","2023-11-20T16:53:32.630735Z","18","94.845","2023-11-20T16:53:32.630735Z"
"Operating Systems or Administration"," Use a tool to check the Windows Server Stability Index","25","1","2023-11-20T16:53:53.698448Z","19","20.6","2023-11-20T16:53:53.698448Z"
"Computer Networks"," Specify the name of the switch service that will allow you to set higher priority for VoIP transmissions.","26","1","2023-11-20T16:54:00.034928Z","20","6.004","2023-11-20T16:54:00.034928Z"
